Time,Open,High,Low,Close,Volume,vwap,transactions,otc,Date
16:00:00,1.02001,1.02107,1.02001,1.02107,4,1.0205,4,,2022-07-24
20:00:00,1.02071,1.02183,1.0198,1.01992,6169,1.0208,6169,,2022-07-24
00:00:00,1.01992,1.0213,1.01807,1.02072,32595,1.0199,32595,,2022-07-25
04:00:00,1.02072,1.02225,1.0185,1.0191,38189,1.0201,38189,,2022-07-25
08:00:00,1.01924,1.0258,1.01787,1.02297,45453,1.0228,45453,,2022-07-25
12:00:00,1.023,1.02549,1.02032,1.02099,47508,1.023,47508,,2022-07-25
16:00:00,1.02098,1.0229,1.0205,1.02253,22432,1.022,22432,,2022-07-25
20:00:00,1.02253,1.02267,1.02137,1.02232,10405,1.0221,10405,,2022-07-25
00:00:00,1.02231,1.02502,1.0221,1.023,23927,1.0235,23927,,2022-07-26
04:00:00,1.02302,1.02362,1.0208,1.02191,27308,1.0223,27308,,2022-07-26
08:00:00,1.02192,1.02221,1.0124,1.01315,41817,1.0171,41817,,2022-07-26
12:00:00,1.01314,1.01529,1.0111,1.01158,47780,1.0134,47780,,2022-07-26
16:00:00,1.01156,1.0133,1.0106,1.01138,24222,1.0122,24222,,2022-07-26
20:00:00,1.0114,1.0134,1.01095,1.01287,12528,1.0125,12528,,2022-07-26
00:00:00,1.01287,1.01474,1.0127,1.01425,22773,1.0141,22773,,2022-07-27
04:00:00,1.01425,1.01588,1.0127,1.01396,27781,1.0143,27781,,2022-07-27
08:00:00,1.01395,1.01716,1.0132,1.01504,33629,1.0149,33629,,2022-07-27
12:00:00,1.01508,1.01565,1.01047,1.01051,40630,1.0134,40630,,2022-07-27
16:00:00,1.0105,1.02206,1.0096,1.02083,47732,1.0163,47732,,2022-07-27
20:00:00,1.02083,1.02083,1.01866,1.02052,16922,1.0199,16922,,2022-07-27
00:00:00,1.02051,1.02156,1.0179,1.02098,31360,1.0201,31360,,2022-07-28
04:00:00,1.02096,1.02343,1.0185,1.02099,37501,1.0209,37501,,2022-07-28
08:00:00,1.02116,1.02193,1.0113,1.01175,46268,1.017,46268,,2022-07-28
12:00:00,1.01172,1.01749,1.0114,1.01655,60255,1.0153,60255,,2022-07-28
16:00:00,1.01629,1.01882,1.01416,1.01862,27220,1.0164,27220,,2022-07-28
20:00:00,1.01862,1.01994,1.0183,1.0191,14047,1.0193,14047,,2022-07-28
00:00:00,1.01923,1.02246,1.0188,1.02131,28491,1.0199,28491,,2022-07-29
